Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,ARI,2021-04-01,@,SDP,L 7-8,41,40,7,12,5,3,0,4,7,0,0,1,12,.300,.317,.675,.992,27,0,0,0,0,0
2,ARI,2021-04-02,@,SDP,L 2-4,38,36,2,8,6,1,0,1,2,1,0,2,12,.222,.263,.333,.596,12,1,0,0,0,0
3,ARI,2021-04-03,@,SDP,L 0-7,30,30,0,4,4,0,0,0,0,0,0,0,11,.133,.133,.133,.267,4,1,0,0,0,0
4,ARI,2021-04-04,@,SDP,W 3-1,38,32,3,6,4,1,1,0,2,0,0,6,8,.188,.316,.281,.597,9,2,0,0,0,1
5,ARI,2021-04-06,@,COL,W 10-8 (13),57,53,10,13,8,3,0,2,9,0,0,3,13,.245,.298,.415,.713,22,0,1,0,0,0
6,ARI,2021-04-07,@,COL,L 0-8,33,31,0,5,3,2,0,0,0,0,0,2,4,.161,.212,.226,.438,7,1,0,0,0,0
7,ARI,2021-04-08,@,COL,L 3-7,37,31,3,5,2,1,1,1,3,1,0,6,7,.161,.297,.355,.652,11,1,0,0,0,0
8,ARI,2021-04-09,,CIN,L 5-6 (10),45,35,5,6,3,2,0,1,5,0,0,9,11,.171,.333,.314,.648,11,0,0,0,1,1
9,ARI,2021-04-10,,CIN,W 8-3,39,34,8,10,8,0,0,2,7,1,0,4,6,.294,.359,.471,.830,16,0,0,0,1,0
10,ARI,2021-04-11,,CIN,W 7-0,41,35,7,13,8,3,0,2,7,0,0,6,12,.371,.463,.629,1.092,22,2,0,0,0,0
11,ARI,2021-04-12,,OAK,L 5-9,39,33,5,7,5,1,1,0,5,0,0,5,6,.212,.308,.303,.611,10,1,0,0,1,0
12,ARI,2021-04-13,,OAK,L 5-7,38,34,5,8,6,1,0,1,5,1,0,4,9,.235,.316,.353,.669,12,1,0,0,0,0
13,ARI,2021-04-15,@,WSN,W 11-6,49,37,11,8,4,0,0,4,11,1,0,7,4,.216,.408,.541,.949,20,0,5,0,0,0
14,ARI,2021-04-16,@,WSN,L 0-1,32,30,0,3,3,0,0,0,0,0,0,2,13,.100,.156,.100,.256,3,0,0,0,0,0
15,ARI,2021-04-17,@,WSN,L 2-6,37,34,2,5,3,0,0,2,2,0,1,3,13,.147,.216,.324,.540,11,0,0,0,0,0
16,ARI,2021-04-18,@,WSN,W 5-2,43,35,5,11,7,2,0,2,4,0,1,7,7,.314,.419,.543,.961,19,0,0,0,1,1
17,ARI,2021-04-20,@,CIN,W 5-4,46,36,5,9,5,3,0,1,4,0,0,8,11,.250,.413,.417,.830,15,1,2,0,0,1
18,ARI,2021-04-21,@,CIN,W 8-5 (10),46,36,8,6,5,0,0,1,7,0,0,7,16,.167,.348,.250,.598,9,1,3,0,0,1
19,ARI,2021-04-22,@,CIN,W 14-11 (10),52,43,14,14,9,2,1,2,14,1,0,8,9,.326,.423,.558,.981,24,1,0,0,1,0
20,ARI,2021-04-23,@,ATL,L 4-5,35,32,4,5,2,2,0,1,3,0,0,3,7,.156,.229,.313,.541,10,0,0,0,0,0
21,ARI,2021-04-25 (1),@,ATL,W 5-0 (7),31,27,5,8,4,1,1,2,5,0,1,3,7,.296,.367,.630,.996,17,0,0,1,0,0
22,ARI,2021-04-25 (2),@,ATL,W 7-0 (7),33,31,7,10,4,3,0,3,7,0,0,2,8,.323,.364,.710,1.073,22,0,0,0,0,0
23,ARI,2021-04-27,,SDP,W 5-1,31,31,5,7,6,0,0,1,3,1,0,0,8,.226,.226,.323,.548,10,0,0,0,0,0
24,ARI,2021-04-28,,SDP,L 3-12,35,32,3,7,2,4,0,1,3,0,0,2,5,.219,.286,.438,.723,14,3,1,0,0,0
25,ARI,2021-04-29,,COL,W 5-3,40,37,5,12,7,2,2,1,5,1,0,3,6,.324,.375,.568,.943,21,0,0,0,0,0
26,ARI,2021-04-30,,COL,W 7-2,38,35,7,12,9,1,1,1,6,0,0,3,5,.343,.395,.514,.909,18,3,0,0,0,0
27,ARI,2021-05-01,,COL,L 6-14,38,34,6,10,6,2,0,2,5,1,0,1,8,.294,.297,.529,.827,18,1,0,1,2,0
28,ARI,2021-05-02,,COL,W 8-4,36,33,8,9,3,4,1,1,8,0,0,3,8,.273,.333,.545,.879,18,0,0,0,0,0
29,ARI,2021-05-04,@,MIA,L 3-9,40,36,3,9,7,1,0,1,2,0,0,3,12,.250,.308,.361,.669,13,1,0,1,0,0
30,ARI,2021-05-05,@,MIA,L 0-8,35,32,0,5,4,1,0,0,0,0,0,3,11,.156,.229,.188,.416,6,0,0,0,0,0
31,ARI,2021-05-06,@,MIA,L 1-3,38,33,1,5,3,2,0,0,1,0,0,3,8,.152,.263,.212,.475,7,1,2,0,0,0
32,ARI,2021-05-07,@,NYM,L 4-5 (10),46,39,4,10,10,0,0,0,4,1,0,5,8,.256,.356,.256,.612,10,0,1,1,0,0
33,ARI,2021-05-08,@,NYM,L 2-4,40,34,2,8,8,0,0,0,2,0,0,2,7,.235,.297,.235,.533,8,0,1,1,0,0
34,ARI,2021-05-09,@,NYM,L 2-4,35,29,2,4,1,2,0,1,1,0,0,4,11,.138,.286,.310,.596,9,2,2,0,0,0
35,ARI,2021-05-10,,MIA,W 5-2,35,31,5,8,1,6,1,0,4,1,0,4,6,.258,.343,.516,.859,16,1,0,0,0,0
36,ARI,2021-05-11,,MIA,W 11-3,41,36,11,15,7,4,2,2,11,0,0,4,7,.417,.463,.806,1.269,29,2,0,0,1,0
37,ARI,2021-05-12,,MIA,L 2-3,33,33,2,7,5,1,0,1,2,1,0,0,10,.212,.212,.333,.545,11,0,0,0,0,0
